day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 1, date: 2009-03-05, price: 1.25445, Account Balance: 9850.0, in play: 148.94918071716933, total: 9998.949180717169
day: 2, date: 2009-03-06, price: 1.26485, Account Balance: 9702.25, in play: 299.1589610826351, total: 10001.408961082636
day: 3, date: 2009-03-07, price: 1.26485, Account Balance: 9556.71625, in play: 444.69271108263507, total: 10001.408961082634
day: 4, date: 2009-03-08, price: 1.2715, Account Balance: 9413.36550625, in play: 591.1351170650239, total: 10004.500623315023
day: 5, date: 2009-03-09, price: 1.2618, Account Balance: 9419.676812189075, in play: 580.3623160666336, total: 10000.039128255708
day: 6, date: 2009-03-10, price: 1.27145, Account Balance: 9278.381660006238, in play: 727.1765636438328, total: 10005.55822365007
day: 7, date: 2009-03-11, price: 1.2805, Account Balance: 9139.205935106145, in play: 872.5188607341993, total: 10011.724795840344
day: 8, date: 2009-03-12, price: 1.2897, Account Balance: 9577.695636634367, in play: 433.5746789948478, total: 10011.270315629215
day: 9, date: 2009-03-13, price: 1.2928, Account Balance: 9708.42325235408, in play: 295.45361980146646, total: 10003.876872155546
day: 10, date: 2009-03-14, price: 1.2928, Account Balance: 9562.796903568767, in play: 441.0799685867777, total: 10003.876872155544
day: 11, date: 2009-03-15, price: 1.28805, Account Balance: 9419.354950015237, in play: 582.3742742982869, total: 10001.729224313523
day: 12, date: 2009-03-16, price: 1.2974, Account Balance: 9278.064625765008, in play: 728.917705179802, total: 10006.98233094481
day: 13, date: 2009-03-17, price: 1.3032, Account Balance: 9284.455182957636, in play: 725.7571907329159, total: 10010.212373690552
day: 14, date: 2009-03-18, price: 1.3487, Account Balance: 9429.873100381648, in play: 597.16152428225, total: 10027.034624663898
day: 15, date: 2009-03-19, price: 1.36595, Account Balance: 9843.520017586094, in play: 151.81857206381167, total: 9995.338589649906
day: 16, date: 2009-03-20, price: 1.35795, Account Balance: 9845.408510805155, in play: 149.05197889177956, total: 9994.460489696934
day: 17, date: 2009-03-21, price: 1.35795, Account Balance: 9697.727383143078, in play: 296.7331065538569, total: 9994.460489696934
day: 18, date: 2009-03-22, price: 1.36265, Account Balance: 9552.26147239593, in play: 443.7295120771838, total: 9995.990984473114
day: 19, date: 2009-03-23, price: 1.36175, Account Balance: 9408.977550309992, in play: 586.6257248535078, total: 9995.6032751635
day: 20, date: 2009-03-24, price: 1.3481, Account Balance: 9267.842887055342, in play: 720.4654152440665, total: 9988.308302299409
day: 21, date: 2009-03-25, price: 1.3574, Account Balance: 9557.629297554415, in play: 439.5800363665483, total: 9997.209333920962
day: 22, date: 2009-03-26, price: 1.3527, Account Balance: 9414.264858091099, in play: 580.926029508662, total: 9995.190887599761
day: 23, date: 2009-03-27, price: 1.3287, Account Balance: 9273.050885219733, in play: 709.3275827325674, total: 9982.3784679523
day: 24, date: 2009-03-28, price: 1.3287, Account Balance: 9844.78688739964, in play: 149.92061249847166, total: 9994.707499898112
day: 25, date: 2009-03-29, price: 1.3266, Account Balance: 9697.115084088646, in play: 297.12207331439595, total: 9994.237157403042
day: 26, date: 2009-03-30, price: 1.31875, Account Balance: 9551.658357827317, in play: 439.9598914069714, total: 9991.618249234289
day: 27, date: 2009-03-31, price: 1.3256, Account Balance: 9408.383482459907, in play: 586.2642705866309, total: 9994.647753046538
day: 28, date: 2009-04-01, price: 1.32435, Account Balance: 9267.25773022301, in play: 726.7041164199918, total: 9993.961846643
day: 29, date: 2009-04-02, price: 1.3472, Account Balance: 9128.248864269664, in play: 880.6497752507719, total: 10008.898639520436
day: 30, date: 2009-04-03, price: 1.34835, Account Balance: 9854.714660287627, in play: 150.19990149374098, total: 10004.914561781368
day: 31, date: 2009-04-04, price: 1.34835, Account Balance: 9706.893940383314, in play: 298.02062139805537, total: 10004.914561781368
day: 32, date: 2009-04-05, price: 1.3535, Account Balance: 9561.290531277564, in play: 445.3184449786036, total: 10006.608976256168
day: 33, date: 2009-04-06, price: 1.3322, Account Balance: 9417.8711733084, in play: 579.4728489745219, total: 9997.344022282921
day: 34, date: 2009-04-07, price: 1.3268, Account Balance: 9851.830126950335, in play: 149.41974016993044, total: 10001.249867120267
day: 35, date: 2009-04-08, price: 1.3251, Account Balance: 9704.052675046081, in play: 296.8163997720102, total: 10000.86907481809
day: 36, date: 2009-04-09, price: 1.3121, Account Balance: 9558.49188492039, in play: 438.0372129384757, total: 9996.529097858865
day: 37, date: 2009-04-10, price: 1.31845, Account Balance: 9712.295098948314, in play: 293.44905273123857, total: 10005.744151679553
