day: 0, date: 2009-03-04, price: 1.2633, Account Balance: 10000, in play: 0, total: 10000
day: 1, date: 2009-03-05, price: 1.25445, Account Balance: 9850.0, in play: 148.94918071716933, total: 9998.949180717169
day: 2, date: 2009-03-06, price: 1.26485, Account Balance: 9702.25, in play: 299.1589610826351, total: 10001.408961082636
day: 3, date: 2009-03-07, price: 1.26485, Account Balance: 9556.71625, in play: 444.69271108263507, total: 10001.408961082634
day: 4, date: 2009-03-08, price: 1.2715, Account Balance: 9413.36550625, in play: 591.1351170650239, total: 10004.500623315023
day: 5, date: 2009-03-09, price: 1.2618, Account Balance: 9419.676812189075, in play: 580.3623160666336, total: 10000.039128255708
day: 6, date: 2009-03-10, price: 1.27145, Account Balance: 9278.381660006238, in play: 727.1765636438328, total: 10005.55822365007
day: 7, date: 2009-03-11, price: 1.2805, Account Balance: 9139.205935106145, in play: 872.5188607341993, total: 10011.724795840344
day: 8, date: 2009-03-12, price: 1.2897, Account Balance: 9577.166513839564, in play: 433.5665633951539, total: 10010.733077234718
day: 9, date: 2009-03-13, price: 1.2928, Account Balance: 9715.882448281596, in play: 295.5593495468654, total: 10011.441797828462
day: 10, date: 2009-03-14, price: 1.2928, Account Balance: 9570.144211557372, in play: 441.29758627108936, total: 10011.441797828462
day: 11, date: 2009-03-15, price: 1.28805, Account Balance: 9426.592048384011, in play: 582.7008971008074, total: 10009.292945484818
day: 12, date: 2009-03-16, price: 1.2974, Account Balance: 9285.19316765825, in play: 729.3560434394541, total: 10014.549211097705
day: 13, date: 2009-03-17, price: 1.3032, Account Balance: 9287.676780571579, in play: 726.2549683081265, total: 10013.931748879706
day: 14, date: 2009-03-18, price: 1.3487, Account Balance: 9433.490422597835, in play: 597.5012343487484, total: 10030.991656946584
day: 15, date: 2009-03-19, price: 1.36595, Account Balance: 9834.986454318674, in play: 151.6869572159157, total: 9986.67341153459
day: 16, date: 2009-03-20, price: 1.35795, Account Balance: 9833.09959827578, in play: 148.86563134017763, total: 9981.965229615957
day: 17, date: 2009-03-21, price: 1.35795, Account Balance: 9685.603104301643, in play: 296.3621253143143, total: 9981.965229615957
day: 18, date: 2009-03-22, price: 1.36265, Account Balance: 9540.319057737119, in play: 443.1747532020324, total: 9983.493810939151
day: 19, date: 2009-03-23, price: 1.36175, Account Balance: 9397.214271871062, in play: 585.8923144798521, total: 9983.106586350914
day: 20, date: 2009-03-24, price: 1.3481, Account Balance: 9256.256057792996, in play: 719.5646760043543, total: 9975.82073379735
day: 21, date: 2009-03-25, price: 1.3574, Account Balance: 9549.535089642794, in play: 439.08957455104144, total: 9988.624664193834
day: 22, date: 2009-03-26, price: 1.3527, Account Balance: 9406.292063298151, in play: 580.3162731925673, total: 9986.608336490719
day: 23, date: 2009-03-27, price: 1.3287, Account Balance: 9265.197682348678, in play: 708.6111748048554, total: 9973.808857153534
day: 24, date: 2009-03-28, price: 1.3287, Account Balance: 9851.646119850519, in play: 150.02506781498252, total: 10001.6711876655
day: 25, date: 2009-03-29, price: 1.3266, Account Balance: 9703.87142805276, in play: 297.3290894124041, total: 10001.200517465164
day: 26, date: 2009-03-30, price: 1.31875, Account Balance: 9558.313356631968, in play: 440.26642797284524, total: 9998.579784604814
day: 27, date: 2009-03-31, price: 1.3256, Account Balance: 9414.93865628249, in play: 586.672742903563, total: 10001.611399186053
day: 28, date: 2009-04-01, price: 1.32435, Account Balance: 9273.714576438251, in play: 727.2104384475326, total: 10000.925014885785
day: 29, date: 2009-04-02, price: 1.3472, Account Balance: 9134.608857791678, in play: 881.2633569956433, total: 10015.872214787321
day: 30, date: 2009-04-03, price: 1.34835, Account Balance: 9852.257578607961, in play: 150.1624520658306, total: 10002.420030673791
day: 31, date: 2009-04-04, price: 1.34835, Account Balance: 9704.473714928841, in play: 297.94631574494997, total: 10002.420030673791
day: 32, date: 2009-04-05, price: 1.3535, Account Balance: 9558.906609204909, in play: 445.20741347434466, total: 10004.114022679254
day: 33, date: 2009-04-06, price: 1.3322, Account Balance: 9415.523010066836, in play: 579.3283686754811, total: 9994.851378742316
day: 34, date: 2009-04-07, price: 1.3268, Account Balance: 9848.219519514843, in play: 149.36497917446917, total: 9997.584498689312
day: 35, date: 2009-04-08, price: 1.3251, Account Balance: 9700.49622672212, in play: 296.7076192219821, total: 9997.203845944103
day: 36, date: 2009-04-09, price: 1.3121, Account Balance: 9554.988783321289, in play: 437.87667622624264, total: 9992.865459547531
day: 37, date: 2009-04-10, price: 1.31845, Account Balance: 9701.053745680174, in play: 293.2239571285851, total: 9994.277702808758
